timestamp,open,high,low,close,volume
2024-03-26T20:00:00Z,69477.66000000,70305.33000000,69401.72000000,69988.00000000,3320.69078000
2024-03-27T00:00:00Z,69987.99000000,70739.65000000,69840.00000000,70387.99000000,4372.69970000
2024-03-27T04:00:00Z,70388.00000000,70598.00000000,69640.00000000,69725.99000000,4193.40578000
2024-03-27T08:00:00Z,69726.00000000,70359.97000000,69407.00000000,70220.73000000,5171.78507000
2024-03-27T12:00:00Z,70220.73000000,71769.54000000,68534.01000000,68874.00000000,22329.46086000
2024-03-27T16:00:00Z,68873.99000000,69406.00000000,68359.18000000,68652.00000000,8096.55097000
2024-03-27T20:00:00Z,68652.01000000,69637.66000000,68630.00000000,69469.99000000,4955.45447000
2024-03-28T00:00:00Z,69469.99000000,69980.00000000,68903.62000000,69290.00000000,4222.74545000
2024-03-28T04:00:00Z,69290.00000000,70469.82000000,69280.00000000,70399.03000000,4925.19222000
2024-03-28T08:00:00Z,70399.04000000,70962.63000000,70292.44000000,70647.18000000,6772.71614000
2024-03-28T12:00:00Z,70647.18000000,71552.06000000,70348.75000000,71290.39000000,11335.74390000
2024-03-28T16:00:00Z,71290.38000000,71320.00000000,70404.00000000,70798.26000000,5199.87249000
2024-03-28T20:00:00Z,70798.26000000,71074.03000000,70541.90000000,70780.60000000,2982.76219000
2024-03-29T00:00:00Z,70780.60000000,70916.16000000,70274.07000000,70442.22000000,3035.25826000
2024-03-29T04:00:00Z,70442.23000000,70538.78000000,69746.33000000,69794.00000000,4015.74929000
2024-03-29T08:00:00Z,69794.01000000,70318.00000000,69566.00000000,70142.78000000,4708.66434000
2024-03-29T12:00:00Z,70142.78000000,70636.04000000,69009.00000000,69180.00000000,7043.97127000
2024-03-29T16:00:00Z,69179.99000000,69666.00000000,69078.62000000,69665.99000000,4246.06600000
2024-03-29T20:00:00Z,69665.99000000,69916.50000000,69290.00000000,69850.54000000,2395.37437000
2024-03-30T00:00:00Z,69850.53000000,70177.87000000,69710.00000000,69773.99000000,2533.94601000
2024-03-30T04:00:00Z,69774.00000000,70321.10000000,69755.98000000,69852.18000000,2669.04320000
2024-03-30T08:00:00Z,69852.18000000,70183.67000000,69811.37000000,70183.55000000,2073.90457000
2024-03-30T12:00:00Z,70183.54000000,70269.15000000,69925.87000000,69999.99000000,1960.15928000
2024-03-30T16:00:00Z,69999.99000000,70280.06000000,69670.00000000,69896.34000000,2564.18678000
2024-03-30T20:00:00Z,69896.34000000,69896.35000000,69540.00000000,69582.18000000,1843.37158000
2024-03-31T00:00:00Z,69582.17000000,70165.86000000,69562.99000000,69916.61000000,2971.88718000
2024-03-31T04:00:00Z,69916.60000000,70460.00000000,69874.54000000,70301.73000000,3491.10805000
2024-03-31T08:00:00Z,70301.72000000,70470.00000000,70147.77000000,70369.99000000,1973.67988000
2024-03-31T12:00:00Z,70369.99000000,70759.10000000,70289.72000000,70381.13000000,3579.74008000
2024-03-31T16:00:00Z,70381.13000000,71227.22000000,70321.86000000,71023.50000000,3712.47384000
2024-03-31T20:00:00Z,71023.51000000,71366.00000000,70639.93000000,71280.01000000,3667.45530000
2024-04-01T00:00:00Z,71280.00000000,71288.23000000,70520.51000000,70588.01000000,3360.81417000
2024-04-01T04:00:00Z,70588.01000000,70648.83000000,68888.00000000,69594.94000000,9756.49862000
2024-04-01T08:00:00Z,69594.94000000,69799.98000000,69165.35000000,69460.01000000,4785.74482000
2024-04-01T12:00:00Z,69460.00000000,70080.00000000,68161.48000000,68237.15000000,11010.90480000
2024-04-01T16:00:00Z,68237.15000000,69816.24000000,68062.86000000,69648.01000000,8342.53739000
2024-04-01T20:00:00Z,69648.01000000,69900.00000000,69327.66000000,69649.80000000,4188.82059000
2024-04-02T00:00:00Z,69649.81000000,69674.23000000,66000.00000000,66703.97000000,14727.55061000
2024-04-02T04:00:00Z,66703.97000000,67120.00000000,66120.75000000,66455.50000000,8828.40820000
2024-04-02T08:00:00Z,66455.50000000,66705.08000000,65075.00000000,65622.69000000,13036.59722000
2024-04-02T12:00:00Z,65622.69000000,66249.83000000,64588.58000000,64890.00000000,17665.04450000
2024-04-02T16:00:00Z,64889.99000000,66200.00000000,64550.00000000,65914.90000000,11481.41905000
2024-04-02T20:00:00Z,65914.91000000,66120.00000000,65200.00000000,65463.99000000,6060.80835000
2024-04-03T00:00:00Z,65463.99000000,66288.88000000,64493.07000000,66225.79000000,9351.12963000
2024-04-03T04:00:00Z,66225.79000000,66483.87000000,65920.00000000,66135.99000000,4521.80948000
2024-04-03T08:00:00Z,66135.98000000,66642.36000000,65538.06000000,66059.76000000,6489.92426000
2024-04-03T12:00:00Z,66059.75000000,66903.63000000,65635.01000000,65836.01000000,7323.44464000
2024-04-03T16:00:00Z,65836.02000000,66550.00000000,65451.62000000,65784.00000000,6431.99952000
2024-04-03T20:00:00Z,65784.01000000,66297.40000000,65476.63000000,65963.28000000,5768.91025000
2024-04-04T00:00:00Z,65963.27000000,66354.83000000,65454.55000000,65620.01000000,3770.13451000
2024-04-04T04:00:00Z,65620.00000000,66290.32000000,65064.52000000,66091.60000000,4739.31707000
2024-04-04T08:00:00Z,66091.59000000,66468.99000000,66028.00000000,66353.67000000,3428.64196000
2024-04-04T12:00:00Z,66353.68000000,67927.69000000,66330.56000000,67647.99000000,10795.29970000
2024-04-04T16:00:00Z,67648.00000000,69309.91000000,67526.50000000,68500.00000000,11282.70659000
2024-04-04T20:00:00Z,68500.00000000,68565.54000000,67320.00000000,68487.79000000,7494.38470000
2024-04-05T00:00:00Z,68487.80000000,68756.67000000,67435.67000000,67863.99000000,5774.35522000
2024-04-05T04:00:00Z,67864.00000000,68028.00000000,66380.00000000,66930.74000000,5658.20928000
