timestamp,open,high,low,close,volume,ema12,ema26,macd,signal,hist,rsi14
2026-03-22T03:00:00Z,69278.14,69594.99,69123.31,69347.61,120.00279,69347.61,69347.61,0.0,0.0,0.0,
2026-03-22T04:00:00Z,69345.0,69536.23,69214.48,69367.0,49.35963,69350.59307692308,69349.04629629629,1.5467806267843116,0.30935612535686235,1.2374245014274492,
2026-03-22T05:00:00Z,69352.44,69353.06,69140.57,69157.38,27.295,69320.86798816569,69334.84879286693,-13.980804701248417,-2.5486760399641937,-11.432128661284223,54.597240572678444
2026-03-22T06:00:00Z,69157.39,69244.0,69066.01,69167.0,19.96866,69297.19598998634,69322.41554895087,-25.219558964527096,-7.082852624876774,-18.13670633965032,55.59368710941574
2026-03-22T07:00:00Z,69161.0,69255.11,68888.1,68901.41,32.75372,69236.30583768076,69291.22995273229,-54.92411505152995,-16.65110511020741,-38.27300994132254,33.64178630559455
2026-03-22T08:00:00Z,68916.92,68987.0,68545.34,68806.0,64.34836,69170.10493957603,69255.28699327064,-85.18205369460338,-30.357294827086605,-54.82475886751678,29.183651969572836
2026-03-22T09:00:00Z,68800.0,68908.31,68584.99,68831.0,29.66295,69117.93494887203,69223.85832710244,-105.92337823040725,-45.470511507750736,-60.452866722656516,31.736321454325534
2026-03-22T10:00:00Z,68824.76,68851.04,68584.2,68653.03,24.54293,69046.41111058403,69181.57474731708,-135.16363673305023,-63.40913655281064,-71.75450018023959,24.86499091798045
2026-03-22T11:00:00Z,68652.42,68696.0,68102.7,68222.0,54.85739,68919.57863203264,69110.4951364047,-190.9165043720568,-88.91061011665988,-102.00589425539692,15.891062897393908
2026-03-22T12:00:00Z,68221.01,68767.89,68194.01,68655.98,137.66673,68879.02499633531,69076.82734852287,-197.80235218755843,-110.6889585308396,-87.11339365671883,39.54773908759714
2026-03-22T13:00:00Z,68655.01,68961.0,68538.53,68707.09,128.93926,68852.57345843758,69049.43939678044,-196.86593834286032,-127.92435449324375,-68.94158384961656,41.62993970702092
2026-03-22T14:00:00Z,68703.0,68923.32,68534.34,68713.18,99.98051,68831.12831098564,69024.53129331522,-193.4029823295714,-141.0200800605093,-52.3829022690621,41.88679054057858
2026-03-22T15:00:00Z,68714.0,69008.7,68703.44,68841.24,97.57975,68832.68395544939,69010.95416047705,-178.27020502765663,-148.47010505393877,-29.800099973717863,47.15293312593054
2026-03-22T16:00:00Z,68846.38,68885.54,68673.01,68804.95,64.81029,68828.41719307256,68995.6945930343,-167.27739996174932,-152.2315640355009,-15.04583592624843,45.8840044272052
2026-03-22T17:00:00Z,68804.95,68857.33,68671.95,68674.87,55.24854,68804.79454798446,68971.9298083651,-167.13526038062992,-155.2123033045267,-11.922957076103216,41.56607295416236
2026-03-22T18:00:00Z,68672.0,68751.99,68338.11,68631.83,88.68677,68778.18461752532,68946.73722996768,-168.55261244236317,-157.880365132094,-10.67224731026917,40.217495567369006
2026-03-22T19:00:00Z,68635.72,68635.72,68148.01,68203.56,122.97682,68689.78083021373,68891.68706478488,-201.90623457115726,-166.68553901990666,-35.2206955512506,29.842247671203836
2026-03-22T20:00:00Z,68205.0,68509.03,68073.57,68172.0,111.06949,68610.12224095008,68838.37691183786,-228.25467088777805,-178.99936539348096,-49.25530549429709,29.24353648080283
2026-03-22T21:00:00Z,68175.01,68229.06,67348.1,67905.31,216.04925,68501.68958849621,68769.26084429432,-267.57125579810236,-196.71374347440525,-70.85751232369711,24.72870416991256
