time,open,high,low,close,volume
2026-03-22T00:00:00Z,69278.14,69594.99,69123.31,69347.61,120.00279
2026-03-22T04:00:00Z,69345.0,69536.23,68888.1,68901.41,129.37701
2026-03-22T08:00:00Z,68916.92,68987.0,68102.7,68222.0,173.41163
2026-03-22T12:00:00Z,68221.01,69008.7,68194.01,68841.24,464.16625
2026-03-22T16:00:00Z,68846.38,68885.54,68148.01,68203.56,331.72242
2026-03-22T20:00:00Z,68205.0,68509.03,67348.1,67864.0,982.50761
2026-03-23T00:00:00Z,67864.01,68603.18,67442.36,68090.37,1070.4532199999999
2026-03-23T04:00:00Z,68093.1,68928.33,67501.64,68328.14,354.02849000000003
2026-03-23T08:00:00Z,68351.21,71549.74,67928.01,70126.0,880.07332
2026-03-23T12:00:00Z,70128.0,70921.01,69667.68,70774.02,631.4751
