time,open,high,low,close,volume
2026-03-23T13:00:00Z,70749.58,70921.01,70589.08,70774.02,207.75678
2026-03-23T12:00:00Z,70128.00,70884.34,69667.68,70750.99,423.71832
2026-03-23T11:00:00Z,68551.07,71549.74,68547.41,70126.00,741.94962
2026-03-23T10:00:00Z,68348.00,68728.08,68299.00,68555.83,34.00235
2026-03-23T09:00:00Z,68443.00,68476.99,67928.01,68341.00,40.93972
2026-03-23T08:00:00Z,68351.21,68717.99,68342.00,68451.00,63.18163
2026-03-23T07:00:00Z,67895.82,68475.18,67501.64,68328.14,117.40541
2026-03-23T06:00:00Z,68914.01,68914.01,67705.54,67891.77,95.22240
2026-03-23T05:00:00Z,68552.01,68928.33,68552.01,68918.91,90.16831
2026-03-23T04:00:00Z,68093.10,68570.79,68064.06,68556.98,51.23237
2026-03-23T03:00:00Z,68327.01,68603.18,68076.01,68090.37,180.88029
2026-03-23T02:00:00Z,67912.01,68415.23,67805.00,68328.00,257.48420
2026-03-23T01:00:00Z,67672.99,68161.62,67530.01,67912.95,289.63999
2026-03-23T00:00:00Z,67864.01,68159.99,67442.36,67670.81,342.44874
2026-03-22T23:00:00Z,68353.99,68468.98,67832.08,67864.00,239.86053
2026-03-22T22:00:00Z,67905.32,68400.72,67562.00,68329.00,415.52834
2026-03-22T21:00:00Z,68175.01,68229.06,67348.10,67905.31,216.04925
2026-03-22T20:00:00Z,68205.00,68509.03,68073.57,68172.00,111.06949
2026-03-22T19:00:00Z,68635.72,68635.72,68148.01,68203.56,122.97682
2026-03-22T18:00:00Z,68672.00,68751.99,68338.11,68631.83,88.68677
2026-03-22T17:00:00Z,68804.95,68857.33,68671.95,68674.87,55.24854
2026-03-22T16:00:00Z,68846.38,68885.54,68673.01,68804.95,64.81029
2026-03-22T15:00:00Z,68714.00,69008.70,68703.44,68841.24,97.57975
2026-03-22T14:00:00Z,68703.00,68923.32,68534.34,68713.18,99.98051
2026-03-22T13:00:00Z,68655.01,68961.00,68538.53,68707.09,128.93926
2026-03-22T12:00:00Z,68221.01,68767.89,68194.01,68655.98,137.66673
2026-03-22T11:00:00Z,68652.42,68696.00,68102.70,68222.00,54.85739
2026-03-22T10:00:00Z,68824.76,68851.04,68584.20,68653.03,24.54293
2026-03-22T09:00:00Z,68800.00,68908.31,68584.99,68831.00,29.66295
2026-03-22T08:00:00Z,68916.92,68987.00,68545.34,68806.00,64.34836
2026-03-22T07:00:00Z,69161.00,69255.11,68888.10,68901.41,32.75372
2026-03-22T06:00:00Z,69157.39,69244.00,69066.01,69167.00,19.96866
2026-03-22T05:00:00Z,69352.44,69353.06,69140.57,69157.38,27.29500
2026-03-22T04:00:00Z,69345.00,69536.23,69214.48,69367.00,49.35963
2026-03-22T03:00:00Z,69278.14,69594.99,69123.31,69347.61,120.00279
