timestamp,open,high,low,close,volume
2026-03-18T05:00:00Z,74169.99,74283.69,73855.06,73893.22,0.57423
2026-03-18T06:00:00Z,74006.66,74224.58,73989.81,74040.01,0.07203
2026-03-18T07:00:00Z,73958.89,73996.65,73600.4,73796.25,3.03134
2026-03-18T08:00:00Z,73933.03,74105.89,73877.95,74028.34,3.31023
2026-03-18T09:00:00Z,74042.79,74248.83,73920.73,74111.9,6.66459
2026-03-18T10:00:00Z,74186.57,74251.57,73808.0,73919.54,9.57709
2026-03-18T11:00:00Z,73897.54,73995.46,72721.74,72905.6,5.96614
2026-03-18T12:00:00Z,72902.37,72957.94,72290.0,72395.68,6.68186
2026-03-18T13:00:00Z,72267.12,72537.37,71966.97,72082.64,1.6497
2026-03-18T14:00:00Z,72107.52,72181.84,71150.0,71150.0,9.40694
2026-03-18T15:00:00Z,71135.88,71511.81,70852.87,71494.61,2.4455
2026-03-18T16:00:00Z,71442.95,71541.59,71063.01,71368.85,3.33546
2026-03-18T17:00:00Z,71348.8,71762.49,71209.5,71603.81,0.60694
2026-03-18T18:00:00Z,71636.2,71979.14,70956.01,71069.89,0.842
2026-03-18T19:00:00Z,71114.4,71483.49,70955.97,71022.69,0.27125
2026-03-18T20:00:00Z,71033.39,71313.33,70500.01,71237.14,0.79677
2026-03-18T21:00:00Z,71257.37,71450.0,71159.37,71335.45,3.208
2026-03-18T22:00:00Z,71206.63,71206.63,70979.3,71130.0,0.20204
2026-03-18T23:00:00Z,71148.22,71380.52,71088.6,71256.1,0.2915
2026-03-19T00:00:00Z,71206.97,71318.17,71000.0,71000.0,0.4772
2026-03-19T01:00:00Z,71060.98,71179.64,70987.65,71132.9,0.15028
2026-03-19T02:00:00Z,71105.59,71254.78,70927.31,71059.03,0.13958
2026-03-19T03:00:00Z,71091.16,71621.51,71082.83,71250.0,0.3268
2026-03-19T04:00:00Z,71181.57,71199.4,70646.87,70824.28,0.45941
2026-03-19T05:00:00Z,70841.21,70905.68,70672.92,70824.89,0.30575
2026-03-19T06:00:00Z,70843.01,70925.42,70555.0,70581.54,5.20859
2026-03-19T07:00:00Z,70601.88,70601.88,69669.0,70194.36,8.4029
2026-03-19T08:00:00Z,70258.08,70258.08,69935.67,69985.26,0.10836
2026-03-19T09:00:00Z,70040.0,70518.64,69994.81,70483.92,0.19885
2026-03-19T10:00:00Z,70468.14,70482.56,70148.14,70148.14,0.01264
2026-03-19T11:00:00Z,70144.33,70192.03,69927.98,69927.98,1.17281
2026-03-19T12:00:00Z,69914.46,69920.0,69147.69,69351.56,0.462
2026-03-19T13:00:00Z,69251.07,70037.52,69105.0,69906.92,0.44107
2026-03-19T14:00:00Z,70010.38,70223.01,69111.28,69547.3,0.6478
2026-03-19T15:00:00Z,69511.04,69886.1,68791.95,69524.7,1.72355
2026-03-19T16:00:00Z,69401.2,69600.0,69242.15,69486.37,0.23686
2026-03-19T17:00:00Z,69427.49,69928.93,69131.81,69849.82,0.2209
2026-03-19T18:00:00Z,69811.69,70089.48,69626.65,69800.0,2.78513
2026-03-19T19:00:00Z,69818.81,70583.87,69818.81,70239.67,1.20236
2026-03-19T20:00:00Z,70249.37,70655.06,70224.55,70468.86,0.15027
2026-03-19T21:00:00Z,70499.78,70699.06,70389.08,70469.67,1.64602
2026-03-19T22:00:00Z,70458.39,70458.39,69974.73,70145.77,0.29331
2026-03-19T23:00:00Z,70219.14,70271.8,69745.43,69977.88,0.13862
2026-03-20T00:00:00Z,69934.16,70277.25,69862.75,70239.15,1.57785
2026-03-20T01:00:00Z,70204.02,70588.78,70204.02,70466.94,0.15683
2026-03-20T02:00:00Z,70359.09,70501.09,70089.14,70439.78,0.20535
2026-03-20T03:00:00Z,70410.32,70789.12,70408.05,70738.28,0.34392
2026-03-20T04:00:00Z,70778.95,70959.46,70583.37,70775.56,0.16554
