timestamp,open,high,low,close,volume,ema12,ema26,macd,signal,hist,rsi14
2026-02-21T08:00:00Z,67863.67,68286.62,67863.67,68124.61,1.93548,68124.61,68124.61,0.0,0.0,0.0,
2026-02-21T12:00:00Z,68130.57,68696.22,67910.31,68662.52,5.01545,68207.36538461539,68164.45518518519,42.91019943020365,8.58203988604073,34.328159544162915,
2026-02-21T16:00:00Z,68554.87,68654.57,68086.59,68560.62,2.81837,68261.71224852072,68193.80072702332,67.91152149740083,20.44793620831275,47.46358528908807,98.56372265047425
2026-02-21T20:00:00Z,68529.03,68598.06,67904.39,68023.17,2.83479,68225.013441056,68181.16141391048,43.85202714551997,25.128754395754196,18.723272749765773,91.1293369537748
2026-02-22T00:00:00Z,67984.38,68234.25,67764.61,68019.7,2.37218,68193.42675781662,68169.20130917637,24.22544864025258,24.948093244653876,-0.722644604401296,91.08156922569698
2026-02-22T04:00:00Z,68057.16,68170.64,67900.3,68024.08,1.12317,68167.37341046022,68158.4515825707,8.921827889513224,21.742840173625748,-12.821012284112523,91.0879193876381
2026-02-22T08:00:00Z,68008.44,68290.47,67941.05,68223.91,0.79479,68176.07134731249,68163.30035423214,12.770993080353946,19.94847075497139,-7.1774776746174425,91.38915974143639
2026-02-22T12:00:00Z,68241.84,68241.84,67323.09,67758.21,3.74296,68111.7849861875,68133.29366132605,-21.50867513855337,11.657041576266437,-33.16571671481981,84.2426150269826
2026-02-22T16:00:00Z,67670.45,67687.67,67190.1,67433.18,2.10018,68007.38421908172,68081.43339011671,-74.04917103498883,-5.484200945984617,-68.56497008900422,79.56600784195247
2026-02-22T20:00:00Z,67433.18,67750.0,67345.97,67637.42,4.1608,67950.4666469153,68048.54350936733,-98.07686245202785,-24.002733247193266,-74.07412920483459,80.30584877979004
2026-02-23T00:00:00Z,67669.83,67678.51,64318.68,64950.77,14.07192,67488.97485508218,67819.07880496974,-330.1039498875616,-85.22297657526694,-244.88097331229466,53.080431062881836
2026-02-23T04:00:00Z,64963.44,66006.28,64672.23,65953.67,2.40104,67252.77410814646,67680.90037497199,-428.1262668255222,-153.803634625318,-274.32263220020417,58.708042100518384
2026-02-23T08:00:00Z,65862.8,66593.67,65585.82,66228.64,2.21894,67095.21501458547,67573.32553238147,-478.110517795998,-218.66501125945402,-259.44550653654403,60.120363740310935
2026-02-23T12:00:00Z,66230.04,66500.0,65529.99,65713.78,7.63063,66882.68655080309,67435.58141887173,-552.8948680686444,-285.5109826212921,-267.3838854473523,56.24142454256947
2026-02-23T16:00:00Z,65672.8,65672.8,64117.22,64289.13,11.98563,66483.67785067954,67202.51094339976,-718.8330927202187,-372.1754046410774,-346.6576880791413,47.172006234089956
2026-02-23T20:00:00Z,64278.73,65016.6,63909.62,64665.99,8.11115,66204.0335659596,67014.62050314792,-810.5869371883164,-459.85771115052523,-350.72922603779114,49.4922708061825
2026-02-24T00:00:00Z,64643.74,64990.56,63387.14,63580.6,10.40474,65800.42840196582,66760.24861402586,-959.8202120600326,-559.8502113324267,-399.9700007276059,43.55842791302039
2026-02-24T04:00:00Z,63579.7,63608.6,62726.8,63050.31,11.97819,65377.33326320185,66485.43834632024,-1108.1050831183893,-669.5011856896193,-438.60389742877,40.97369261995567
2026-02-24T08:00:00Z,63133.67,63416.2,62942.83,63200.79,3.56755,65042.48045347849,66242.13106140764,-1199.650607929143,-775.5310701375241,-424.1195377916189,42.02501176572029
2026-02-24T12:00:00Z,63201.92,64013.24,62550.79,64013.24,11.28901,64884.13576832796,66077.02801982188,-1192.8922514939259,-859.0033064088045,-333.88894508512135,47.465479907929456
2026-02-24T16:00:00Z,63978.11,64726.32,63730.0,64471.14,7.35963,64820.59795781596,65958.07335168692,-1137.4753938709619,-914.697723901236,-222.77766996972582,50.29648955504093
2026-02-24T20:00:00Z,64448.4,64581.0,63848.6,64024.6,5.32486,64698.13673353658,65814.85310341381,-1116.7163698772347,-955.1014530964358,-161.61491678079892,47.60247157288182
2026-02-25T00:00:00Z,64072.62,66310.29,63910.91,65389.59,16.30062,64804.51415914633,65783.35213279056,-978.8379736442294,-959.8487572059945,-18.98921643823485,55.45663022657782
2026-02-25T04:00:00Z,65386.14,65637.11,64754.91,65057.74,6.50048,64843.471980816124,65729.60308591719,-886.1311051010634,-945.1052267850083,58.97412168394487,53.36241469125259
2026-02-25T08:00:00Z,65041.89,65691.93,64974.62,65431.17,5.2546,64933.88706069057,65707.4969314048,-773.6098707142373,-910.8061555708541,137.19628485661678,55.40331838215372
2026-02-25T12:00:00Z,65436.02,67578.04,65401.96,67410.09,10.83494,65314.841359045866,65833.61493648593,-518.7735774400644,-832.3996399446962,313.6260625046318,64.31526615974195
2026-02-25T16:00:00Z,67440.14,69545.31,67425.14,69040.24,17.618,65887.97961150036,66071.14271896845,-183.16310746809177,-702.5523334493754,519.3892259812836,69.68877103697807
2026-02-25T20:00:00Z,69063.5,70100.0,67601.64,67957.93,19.99576,66206.43351742337,66210.9047397856,-4.471222362233675,-562.936111231947,558.4648888697134,62.914892139511686
2026-02-26T00:00:00Z,67991.86,68687.3,67725.28,68230.0,10.93106,66517.75143781978,66360.46735165334,157.28408616644447,-418.89207175226875,576.1761579187132,63.86573236870594
2026-02-26T04:00:00Z,68176.11,68859.67,67832.23,67867.49,5.17481,66725.40352430905,66472.09865893828,253.3048653707665,-284.4526843276617,537.7575496984282,61.59947600069487
2026-02-26T08:00:00Z,67876.96,68680.34,67815.38,68041.22,11.07591,66927.8368282615,66588.3298693873,339.50695887420443,-159.66075568728849,499.1677145614929,62.290091203604064
2026-02-26T12:00:00Z,68141.42,68264.01,66759.4,67365.38,11.19336,66995.15116237511,66645.88913832157,349.26202405354707,-57.87619973912138,407.13822379266844,57.925696648046795
2026-02-26T16:00:00Z,67355.07,68828.0,66535.11,67675.82,15.25336,67099.86944508663,66722.18031326072,377.68913182591496,29.236866573885884,348.45226525202906,59.33512482028557
2026-02-26T20:00:00Z,67639.2,67826.96,67142.27,67481.4,4.79562,67158.56645353485,66778.41880857473,380.14764496011776,99.41902225113226,280.7286227089855,58.02418424648371
2026-02-27T00:00:00Z,67468.08,67702.86,66890.14,67666.86,4.10834,67236.76546068334,66844.22926719883,392.5361934845132,158.04245649780847,234.49373698670473,58.95575829442865
2026-02-27T04:00:00Z,67612.5,68206.36,67459.52,67650.89,2.59918,67300.47692827052,66903.98191407298,396.49501419754233,205.73296803775526,190.76204615978708,58.834673132900285
2026-02-27T08:00:00Z,67863.69,68158.45,65982.2,66125.66,12.19296,67119.73586238275,66846.32843895647,273.40742342628073,219.26785911546037,54.13956431082036,48.57384751152766
2026-02-27T12:00:00Z,66115.97,66321.68,65683.25,66135.91,9.35381,66968.37803740079,66793.70485088561,174.67318651518144,210.34892459540458,-35.67573808022314,48.63867487987515
2026-02-27T16:00:00Z,66040.37,66121.67,65113.44,65406.83,18.60394,66728.13987780067,66690.97338044964,37.166497351034195,175.71243914653053,-138.54594179549633,44.355571645276115
2026-02-27T20:00:00Z,65407.18,65952.75,64979.52,65882.98,8.61472,66598.11528121596,66631.12201893485,-33.00673771889706,133.968603773445,-166.97534149234207,47.60086677454103
2026-02-28T00:00:00Z,65848.73,66010.61,65741.89,65815.33,1.97929,66477.68677641351,66570.69298049524,-93.00620408172836,88.57364220241034,-181.57984628413868,47.17985157151468
2026-02-28T04:00:00Z,65814.38,65826.99,63047.83,63841.86,18.07131,66072.17496465759,66368.55720416225,-296.3822395046591,11.582465860996455,-307.96470536565556,36.920906871387025
2026-02-28T08:00:00Z,63812.28,64267.57,63383.86,63795.87,5.55497,65721.97420086412,66177.98778163172,-456.0135807675979,-81.93674346472243,-374.07683730287545,36.72051851288078
2026-02-28T12:00:00Z,63895.72,65340.68,63820.31,64831.12,14.89884,65584.91970842349,66078.21979780715,-493.3000893836579,-164.20941264850953,-329.09067673514835,44.078301800585265
2026-02-28T16:00:00Z,64829.53,66676.57,64690.8,66384.42,12.12817,65707.91975328141,66100.90129426587,-392.98154098445957,-209.96383831569955,-183.01770266876002,52.923079342205
2026-02-28T20:00:00Z,66338.15,67729.87,66196.49,66954.13,18.94252,65899.64440662274,66164.10342061655,-264.4590139938082,-220.8628734513213,-43.59614054248689,55.691168316890696
2026-03-01T00:00:00Z,66990.4,68200.0,66010.36,67501.9,15.42436,66146.14526714232,66263.19946353383,-117.0541963915166,-200.10113803936036,83.04694164784377,58.23403505882168
2026-03-01T04:00:00Z,67510.66,67615.36,66799.41,67104.63,5.27443,66293.60445681273,66325.52765142021,-31.92319460748695,-166.4655493529857,134.54235474549876,55.73576446838497
2026-03-01T08:00:00Z,67156.05,67275.08,66231.29,66478.96,6.89058,66322.12069422615,66336.89301057428,-14.772316348127788,-136.12690275201413,121.35458640388634,51.95536870533508
2026-03-01T12:00:00Z,66476.93,67323.07,66136.1,66870.52,8.85693,66406.48981819136,66376.42093571692,30.068882474442944,-102.88774570672273,132.95662818116568,54.05562976356372
2026-03-01T16:00:00Z,66899.0,67108.45,65718.24,65964.39,15.53142,66338.47446154653,66345.90012566381,-7.425664117283304,-83.79532938883484,76.36966527155154,48.74511757287969
2026-03-01T20:00:00Z,65959.16,66467.17,65050.37,65721.17,12.29355,66243.50454438552,66299.62382005909,-56.119275673569064,-78.26011864578169,22.140842972212624,47.39907497749368
2026-03-02T00:00:00Z,65792.28,67061.8,65792.28,66818.83,7.27426,66332.0161529416,66338.08353709175,-6.0673841501557035,-63.821571746656495,57.75418759650079,53.623242835020235
2026-03-02T04:00:00Z,66830.27,66999.99,65579.72,65982.5,8.08549,66278.24443710443,66311.7440158257,-33.499578721268335,-57.75717314157887,24.257594420310532,48.877627299249944
2026-03-02T08:00:00Z,65980.53,66694.42,65675.02,66356.72,9.20865,66290.31760062682,66315.07557020898,-24.757969582162332,-51.157332429695565,26.399362847533233,50.96859727645807
2026-03-02T12:00:00Z,66349.09,69609.25,65280.48,69121.3,17.63213,66725.85335437654,66522.94404648979,202.9093078867445,-0.34400436640755117,203.25331225315205,63.00646316364129
2026-03-02T16:00:00Z,69114.39,70100.0,68573.13,68952.33,10.81463,67068.388222934,66702.89856156462,365.4896613693709,72.82272878074814,292.6669325886227,62.00447329376335
2026-03-02T20:00:00Z,68938.11,69537.86,68588.18,68811.43,6.06892,67336.54849632876,66859.0860755228,477.462420805954,153.75066718578933,323.7117536201647,61.131443722551005
2026-03-03T00:00:00Z,68881.13,69247.84,68232.19,68337.73,17.20689,67490.57641997049,66968.6152551137,521.9611648567807,227.3927667199876,294.56839813679306,58.16624350215071
2026-03-03T04:00:00Z,68390.58,68530.01,67824.59,68195.33,3.84112,67599.00004766733,67059.48301399418,539.5170336731535,289.8176201106208,249.6994135625327,57.26698413260541
2026-03-03T08:00:00Z,68173.5,68301.89,66361.33,67034.2,28.12118,67512.10773264158,67057.61019814275,454.4975344988343,322.75360298826354,131.74393151057075,50.42176246083851
2026-03-03T12:00:00Z,67073.65,67948.07,66171.2,67673.3,15.50531,67536.90654300441,67103.21685013217,433.6896928722417,344.9408209650592,88.74887190718255,53.70209025089383
2026-03-03T16:00:00Z,67688.36,68991.95,67520.0,68452.59,12.0061,67677.78092100374,67203.17041678904,474.61050421469554,370.8747576149865,103.73574659970905,57.403091325604805
2026-03-03T20:00:00Z,68454.55,68755.31,67842.13,68263.23,6.03893,67767.85001008009,67281.69334887875,486.1566612013412,393.93113833225743,92.22552286908376,56.226905783333365
2026-03-04T00:00:00Z,68244.81,68898.0,67416.72,67640.89,8.1617,67748.317700837,67308.30050822106,440.01719261593826,403.1483491889936,36.868843426944636,52.424985319647334
2026-03-04T04:00:00Z,67797.86,69626.62,67508.64,69508.72,7.94836,68019.14882378514,67471.29454464914,547.8542791360087,432.08953517839666,115.76474395761204,60.95772140241432
2026-03-04T08:00:00Z,69543.7,71868.11,69139.24,71119.46,32.32444,68496.11977397205,67741.52902282328,754.5907511487749,496.5897783724723,258.00097277630255,66.53225584542464
2026-03-04T12:00:00Z,71112.35,73475.87,70585.01,73377.1,23.32606,69247.03980874558,68158.97872483637,1088.0610839092114,614.8840394798202,473.17704442939123,72.46631326808472
2026-03-04T16:00:00Z,73382.72,74038.22,72558.36,73710.05,16.8903,69933.65676124627,68570.16918966331,1363.4875715829548,764.6047459004471,598.8828256825077,73.22042888227222
2026-03-04T20:00:00Z,73675.62,73715.01,72339.57,72747.38,9.72232,70366.53725951607,68879.59221265122,1486.9450468648574,909.0728060933292,577.8722407715283,67.46673976645688
2026-03-05T00:00:00Z,72701.61,73282.55,72348.07,72493.5,6.64029,70693.7622965136,69147.28908578816,1546.4732107254385,1036.552887019751,509.92032370568745,65.99390613107983
2026-03-05T04:00:00Z,72532.0,73057.54,71812.23,72056.07,8.62585,70903.34809704997,69362.75433869274,1540.5937583572231,1137.3610612872455,403.2326970699776,63.42476708799031
2026-03-05T08:00:00Z,72067.61,73565.0,71765.53,72861.78,8.1402,71204.64531288843,69621.94142471551,1582.703888172924,1226.4296266643814,356.2742615085426,66.04669474678293
2026-03-05T12:00:00Z,72932.2,73043.35,71192.9,71510.56,9.44136,71251.70911090559,69761.8390969588,1489.8700139467837,1279.1177041208618,210.75230982592188,58.47588392569119
2026-03-05T16:00:00Z,71574.74,71622.21,70644.77,70962.59,10.67848,71207.22924768935,69850.7836082952,1356.445639394151,1294.5832911755197,61.86234821863127,55.68803888208983
2026-03-05T20:00:00Z,70961.42,71549.85,70778.4,70858.6,4.02253,71153.59397881407,69925.43667434741,1228.1573044666584,1281.2980938337475,-53.140789367089155,55.15068275193663
2026-03-06T00:00:00Z,70894.73,71397.25,70408.42,71089.96,5.53892,71143.80413591959,70011.69766143279,1132.1064744868054,1251.459769964359,-119.35329547755373,56.164153143832834
2026-03-06T04:00:00Z,71060.73,71153.37,70122.07,71109.69,2.39738,71138.55580731657,70093.03042725258,1045.5253800639912,1210.2728919842855,-164.7475119202943,56.25493682116597
